행정구역,2022년10월_남_총인구수,2022년10월_남_연령구간인구수,2022년10월_남_0~9세,2022년10월_남_10~19세,2022년10월_남_20~29세,2022년10월_남_30~39세,2022년10월_남_40~49세,2022년10월_남_50~59세,2022년10월_남_60~69세,2022년10월_남_70~79세,2022년10월_남_80~89세,2022년10월_남_90~99세,2022년10월_남_100세 이상,2022년10월_여_총인구수,2022년10월_여_연령구간인구수,2022년10월_여_0~9세,2022년10월_여_10~19세,2022년10월_여_20~29세,2022년10월_여_30~39세,2022년10월_여_40~49세,2022년10월_여_50~59세,2022년10월_여_60~69세,2022년10월_여_70~79세,2022년10월_여_80~89세,2022년10월_여_90~99세,2022년10월_여_100세 이상
서울특별시  (1100000000),4578459 ,4578459 ,283233 ,384269 ,670090 ,712539 ,719904 ,736335 ,610843 ,322970 ,127144 ,10851 ,281 ,4865263 ,4865263 ,268316 ,366618 ,729808 ,713664 ,735678 ,758473 ,681603 ,388581 ,190399 ,31103 ,1020 
서울특별시 종로구 (1111000000),68601 ,68601 ,3302 ,5030 ,10711 ,9604 ,9699 ,12125 ,10148 ,5114 ,2579 ,278 ,11 ,73260 ,73260 ,3213 ,5119 ,11806 ,9755 ,10456 ,12149 ,10035 ,6297 ,3797 ,613 ,20 
서울특별시 종로구 청운효자동(1111051500),5367 ,5367 ,356 ,589 ,718 ,700 ,898 ,847 ,649 ,366 ,222 ,21 ,1 ,6333 ,6333 ,328 ,543 ,746 ,858 ,1154 ,1032 ,758 ,555 ,310 ,47 ,2 
서울특별시 종로구 사직동(1111053000),4045 ,4045 ,257 ,294 ,476 ,618 ,634 ,679 ,564 ,283 ,205 ,33 ,2 ,5083 ,5083 ,264 ,373 ,640 ,827 ,788 ,810 ,637 ,409 ,284 ,51 ,0 
서울특별시 종로구 삼청동(1111054000),1113 ,1113 ,40 ,99 ,136 ,136 ,160 ,178 ,187 ,110 ,53 ,13 ,1 ,1230 ,1230 ,48 ,70 ,147 ,156 ,182 ,185 ,207 ,126 ,97 ,11 ,1 
서울특별시 종로구 부암동(1111055000),4411 ,4411 ,215 ,473 ,594 ,577 ,650 ,764 ,618 ,328 ,174 ,18 ,0 ,4872 ,4872 ,228 ,370 ,579 ,584 ,816 ,891 ,704 ,399 ,241 ,56 ,4 
서울특별시 종로구 평창동(1111056000),8266 ,8266 ,591 ,740 ,1085 ,991 ,1167 ,1441 ,1281 ,610 ,318 ,39 ,3 ,9460 ,9460 ,517 ,788 ,1112 ,1129 ,1434 ,1767 ,1409 ,731 ,469 ,97 ,7 
서울특별시 종로구 무악동(1111057000),3721 ,3721 ,264 ,412 ,402 ,395 ,620 ,724 ,496 ,254 ,141 ,13 ,0 ,4317 ,4317 ,322 ,529 ,450 ,461 ,708 ,710 ,549 ,334 ,223 ,28 ,3 
서울특별시 종로구 교남동(1111058000),4543 ,4543 ,392 ,382 ,532 ,668 ,807 ,787 ,531 ,278 ,156 ,10 ,0 ,5318 ,5318 ,382 ,421 ,600 ,822 ,942 ,834 ,640 ,434 ,218 ,24 ,1 
서울특별시 종로구 가회동(1111060000),1832 ,1832 ,101 ,147 ,209 ,236 ,319 ,323 ,269 ,145 ,78 ,5 ,0 ,2125 ,2125 ,76 ,151 ,245 ,276 ,344 ,359 ,298 ,226 ,122 ,28 ,0 
서울특별시 종로구 종로1.2.3.4가동(1111061500),4082 ,4082 ,91 ,105 ,488 ,544 ,538 ,803 ,891 ,427 ,183 ,10 ,2 ,2656 ,2656 ,79 ,100 ,513 ,394 ,327 ,346 ,413 ,288 ,163 ,33 ,0 
서울특별시 종로구 종로5.6가동(1111063000),2771 ,2771 ,56 ,99 ,551 ,449 ,317 ,507 ,458 ,221 ,104 ,9 ,0 ,2469 ,2469 ,72 ,108 ,634 ,355 ,225 ,374 ,308 ,249 ,127 ,17 ,0 
서울특별시 종로구 이화동(1111064000),3356 ,3356 ,101 ,162 ,723 ,612 ,433 ,531 ,419 ,247 ,113 ,15 ,0 ,3753 ,3753 ,102 ,184 ,854 ,611 ,435 ,529 ,490 ,308 ,214 ,26 ,0 
서울특별시 종로구 혜화동(1111065000),7816 ,7816 ,283 ,645 ,2205 ,1062 ,961 ,1111 ,790 ,463 ,267 ,28 ,1 ,8426 ,8426 ,285 ,641 ,2241 ,954 ,1055 ,1209 ,867 ,661 ,438 ,74 ,1 
서울특별시 종로구 창신제1동(1111067000),2489 ,2489 ,58 ,108 ,306 ,351 ,263 ,509 ,552 ,240 ,95 ,7 ,0 ,2184 ,2184 ,59 ,91 ,288 ,237 ,256 ,412 ,430 ,241 ,151 ,19 ,0 
서울특별시 종로구 창신제2동(1111068000),3969 ,3969 ,100 ,198 ,554 ,511 ,477 ,907 ,730 ,338 ,136 ,18 ,0 ,3757 ,3757 ,83 ,183 ,501 ,390 ,416 ,816 ,691 ,434 ,217 ,26 ,0 
서울특별시 종로구 창신제3동(1111069000),3181 ,3181 ,164 ,235 ,453 ,467 ,418 ,583 ,528 ,218 ,96 ,18 ,1 ,3277 ,3277 ,160 ,220 ,420 ,436 ,425 ,623 ,524 ,267 ,181 ,21 ,0 
서울특별시 종로구 숭인제1동(1111070000),2784 ,2784 ,112 ,173 ,356 ,403 ,432 ,537 ,443 ,228 ,91 ,9 ,0 ,3009 ,3009 ,101 ,183 ,377 ,409 ,412 ,565 ,487 ,284 ,162 ,28 ,1 
서울특별시 종로구 숭인제2동(1111071000),4855 ,4855 ,121 ,169 ,923 ,884 ,605 ,894 ,742 ,358 ,147 ,12 ,0 ,4991 ,4991 ,107 ,164 ,1459 ,856 ,537 ,687 ,623 ,351 ,180 ,27 ,0 
서울특별시 중구 (1114000000),58643 ,58643 ,3059 ,3181 ,8220 ,9921 ,8583 ,9858 ,8958 ,4654 ,1977 ,222 ,10 ,62005 ,62005 ,2931 ,3189 ,9522 ,9942 ,8277 ,9623 ,8982 ,5586 ,3335 ,598 ,20 
서울특별시 중구 소공동(1114052000),1088 ,1088 ,84 ,38 ,114 ,228 ,259 ,166 ,129 ,51 ,17 ,2 ,0 ,1156 ,1156 ,70 ,83 ,156 ,263 ,246 ,153 ,109 ,49 ,23 ,4 ,0 
서울특별시 중구 회현동(1114054000),2349 ,2349 ,90 ,107 ,211 ,253 ,311 ,457 ,542 ,263 ,103 ,12 ,0 ,2207 ,2207 ,84 ,112 ,243 ,283 ,281 ,365 ,416 ,250 ,132 ,38 ,3 
서울특별시 중구 명동(1114055000),1235 ,1235 ,50 ,66 ,159 ,208 ,168 ,209 ,208 ,117 ,43 ,7 ,0 ,1572 ,1572 ,31 ,75 ,197 ,182 ,227 ,248 ,301 ,181 ,109 ,21 ,0 
서울특별시 중구 필동(1114057000),2078 ,2078 ,85 ,93 ,375 ,357 ,248 ,347 ,322 ,157 ,80 ,13 ,1 ,1904 ,1904 ,77 ,99 ,347 ,325 ,219 ,233 ,292 ,158 ,123 ,31 ,0 
서울특별시 중구 장충동(1114058000),2412 ,2412 ,80 ,147 ,682 ,383 ,284 ,308 ,289 ,154 ,77 ,8 ,0 ,2172 ,2172 ,64 ,152 ,537 ,288 ,247 ,292 ,261 ,181 ,130 ,20 ,0 
서울특별시 중구 광희동(1114059000),2608 ,2608 ,60 ,87 ,455 ,522 ,297 ,411 ,434 ,251 ,83 ,8 ,0 ,2588 ,2588 ,53 ,107 ,634 ,428 ,274 ,328 ,368 ,248 ,130 ,18 ,0 
서울특별시 중구 을지로동(1114060500),1018 ,1018 ,18 ,21 ,110 ,175 ,103 ,181 ,251 ,113 ,42 ,4 ,0 ,640 ,640 ,19 ,18 ,124 ,134 ,66 ,60 ,108 ,71 ,34 ,6 ,0 
서울특별시 중구 신당동(1114061500),3761 ,3761 ,111 ,115 ,598 ,662 ,558 ,687 ,580 ,319 ,117 ,12 ,2 ,3893 ,3893 ,140 ,145 ,800 ,655 ,469 ,599 ,530 ,333 ,181 ,41 ,0 
서울특별시 중구 다산동(1114062500),6533 ,6533 ,247 ,395 ,1068 ,1106 ,928 ,1059 ,930 ,547 ,230 ,22 ,1 ,6959 ,6959 ,234 ,343 ,1146 ,1068 ,855 ,1147 ,1075 ,646 ,384 ,59 ,2 
서울특별시 중구 약수동(1114063500),7587 ,7587 ,454 ,465 ,887 ,1094 ,1129 ,1266 ,1229 ,708 ,313 ,41 ,1 ,8825 ,8825 ,478 ,449 ,998 ,1180 ,1212 ,1429 ,1451 ,909 ,600 ,116 ,3 
서울특별시 중구 청구동(1114064500),6285 ,6285 ,341 ,399 ,830 ,1071 ,850 ,1063 ,987 ,467 ,251 ,25 ,1 ,6971 ,6971 ,320 ,393 ,913 ,1061 ,894 ,1150 ,1076 ,670 ,426 ,66 ,2 
서울특별시 중구 신당제5동(1114065000),4920 ,4920 ,252 ,237 ,707 ,848 ,749 ,932 ,701 ,323 ,153 ,17 ,1 ,5241 ,5241 ,257 ,274 ,864 ,867 ,695 ,865 ,678 ,463 ,243 ,32 ,3 
서울특별시 중구 동화동(1114066500),4830 ,4830 ,337 ,399 ,570 ,624 ,696 ,904 ,772 ,357 ,153 ,18 ,0 ,5218 ,5218 ,294 ,380 ,640 ,656 ,738 ,965 ,766 ,424 ,308 ,45 ,2 
서울특별시 중구 황학동(1114067000),5960 ,5960 ,354 ,226 ,862 ,1408 ,928 ,879 ,745 ,409 ,134 ,15 ,0 ,6598 ,6598 ,338 ,227 ,1232 ,1453 ,905 ,895 ,784 ,476 ,236 ,50 ,2 
서울특별시 중구 중림동(1114068000),5979 ,5979 ,496 ,386 ,592 ,982 ,1075 ,989 ,839 ,418 ,181 ,18 ,3 ,6061 ,6061 ,472 ,332 ,691 ,1099 ,949 ,894 ,767 ,527 ,276 ,51 ,3 
서울특별시 용산구 (1117000000),105303 ,105303 ,6176 ,7293 ,14904 ,18787 ,16122 ,17374 ,14148 ,6781 ,3324 ,387 ,7 ,113799 ,113799 ,5928 ,7038 ,17157 ,19134 ,16590 ,17994 ,14847 ,8704 ,5429 ,943 ,35 
서울특별시 용산구 후암동(1117051000),7981 ,7981 ,415 ,619 ,1199 ,1435 ,1185 ,1311 ,1041 ,552 ,203 ,19 ,2 ,8401 ,8401 ,391 ,510 ,1157 ,1308 ,1259 ,1372 ,1191 ,689 ,446 ,72 ,6 
서울특별시 용산구 용산2가동(1117052000),4402 ,4402 ,146 ,242 ,711 ,847 ,678 ,595 ,623 ,373 ,167 ,20 ,0 ,4715 ,4715 ,142 ,220 ,675 ,798 ,603 ,703 ,736 ,498 ,287 ,53 ,0 
서울특별시 용산구 남영동(1117053000),4326 ,4326 ,86 ,136 ,421 ,529 ,585 ,1066 ,981 ,371 ,138 ,12 ,1 ,2785 ,2785 ,72 ,100 ,473 ,484 ,362 ,492 ,408 ,234 ,140 ,18 ,2 
서울특별시 용산구 청파동(1117055500),8895 ,8895 ,286 ,508 ,1611 ,1768 ,1247 ,1462 ,1169 ,552 ,271 ,20 ,1 ,10214 ,10214 ,296 ,527 ,2539 ,1547 ,1221 ,1513 ,1266 ,799 ,445 ,60 ,1 
서울특별시 용산구 원효로제1동(1117056000),7958 ,7958 ,608 ,490 ,1131 ,1893 ,1341 ,1109 ,853 ,354 ,161 ,17 ,1 ,9112 ,9112 ,576 ,461 ,1802 ,2184 ,1338 ,1133 ,893 ,449 ,227 ,46 ,3 
서울특별시 용산구 원효로제2동(1117057000),6453 ,6453 ,388 ,468 ,858 ,1093 ,1030 ,1097 ,870 ,445 ,181 ,23 ,0 ,7241 ,7241 ,418 ,646 ,1021 ,1103 ,1040 ,1167 ,924 ,526 ,340 ,51 ,5 
서울특별시 용산구 효창동(1117058000),5089 ,5089 ,406 ,385 ,754 ,941 ,789 ,813 ,575 ,265 ,144 ,17 ,0 ,5613 ,5613 ,404 ,326 ,838 ,1039 ,847 ,905 ,605 ,396 ,215 ,37 ,1 
서울특별시 용산구 용문동(1117059000),5551 ,5551 ,329 ,357 ,823 ,972 ,813 ,946 ,711 ,411 ,178 ,11 ,0 ,6011 ,6011 ,349 ,320 ,876 ,965 ,824 ,954 ,852 ,551 ,272 ,46 ,2 
서울특별시 용산구 한강로동(1117062500),10112 ,10112 ,648 ,523 ,1419 ,2304 ,1394 ,1587 ,1321 ,575 ,307 ,33 ,1 ,11171 ,11171 ,604 ,471 ,1993 ,2555 ,1465 ,1701 ,1281 ,632 ,393 ,70 ,6 
서울특별시 용산구 이촌제1동(1117063000),11779 ,11779 ,1221 ,1363 ,1247 ,1306 ,1940 ,2079 ,1436 ,680 ,423 ,83 ,1 ,13304 ,13304 ,1102 ,1312 ,1320 ,1687 ,2339 ,2279 ,1477 ,921 ,723 ,140 ,4 
서울특별시 용산구 이촌제2동(1117064000),3764 ,3764 ,237 ,238 ,406 ,636 ,590 ,608 ,587 ,314 ,133 ,15 ,0 ,4289 ,4289 ,256 ,249 ,403 ,665 ,591 ,688 ,743 ,389 ,251 ,54 ,0 
서울특별시 용산구 이태원제1동(1117065000),3035 ,3035 ,98 ,119 ,544 ,618 ,394 ,453 ,468 ,199 ,120 ,22 ,0 ,3084 ,3084 ,113 ,117 ,470 ,491 ,377 ,481 ,524 ,295 ,168 ,47 ,1 
